Unitid,Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Number of Records,Sisascp,Sisastp,Sisinst,Sislect,Sisnork,Sisprof,Sistotl
100654,10282,21849,21849,10282,21849,21849,15874,27441,27441,1,76,94,33,0,5,55,263
100663,12581,22495,22495,12581,22495,22495,21773,31687,31687,1,595,777,219,0,0,653,2244
100690,9970,19570,0,9970,19570,0,9970,19570,0,1,0,0,41,0,0,0,41
100706,15033,23466,23466,15033,23466,23466,27347,35780,35780,1,91,93,12,40,0,76,312
100724,13492,20812,18286,13492,20812,18286,20428,27748,25222,1,65,92,50,0,11,56,274
100751,15620,27000,27000,15620,27000,27000,30120,41500,41500,1,318,328,263,12,0,331,1252
100760,8524,16372,0,8524,16372,0,11824,19672,0,1,0,0,0,0,59,0,59
100830,12650,20440,17820,12650,20440,17820,28850,36640,34020,1,67,61,14,8,0,53,203
100858,13730,25282,25282,13730,25282,25282,30242,41794,41794,1,403,241,89,9,0,442,1184
100937,33040,44690,45470,33040,44690,45470,33040,44690,45470,1,22,25,4,2,0,33,86
101028,6860,12260,0,6860,12260,0,10190,15590,0,1,0,0,0,0,36,0,36
101073,12390,20790,18330,12390,20790,18330,12390,20790,18330,1,6,13,1,0,0,1,21
101116,26043,29544,30442,26043,29544,30442,26043,29544,30442,1,0,5,7,0,0,0,12
101143,7276,12676,0,7276,12676,0,10384,15784,0,1,0,0,0,0,69,0,69
101161,8252,12160,13040,8252,12160,13040,11582,15490,16370,1,0,0,0,0,82,0,82
101189,24730,32730,31010,24730,32730,31010,24730,32730,31010,1,20,39,3,4,2,43,111
101240,7817,12317,8925,7817,12317,8925,11147,15647,12255,1,0,0,0,0,150,0,150
101286,7267,10250,0,7267,10250,0,10597,13580,0,1,0,0,0,0,131,0,131
101295,10100,15980,13300,10100,15980,13300,13430,19310,16630,1,0,0,0,0,128,0,128
101301,11800,21900,0,11800,21900,0,15130,25230,0,1,0,0,0,0,55,0,55
101365,20069,28043,0,20069,28043,0,20069,28043,0,1,4,1,0,0,0,3,8
101435,25535,31885,33885,25535,31885,33885,25535,31885,33885,1,9,23,1,0,0,8,41
101453,14425,22818,17242,14425,22818,17242,14425,22818,17242,1,0,0,0,0,6,0,6
101462,8036,12761,0,8036,12761,0,10700,15425,0,1,0,0,0,0,30,0,30
101471,4608,4608,0,4608,4608,0,4608,4608,0,1,0,0,0,0,40,0,40
101480,15760,25056,21237,15760,25056,21237,22552,31848,28029,1,76,60,91,0,0,91,318
101499,7708,11824,13485,7708,11824,13485,11038,15154,16815,1,0,0,0,0,35,0,35
101505,11148,20058,0,11148,20058,0,14478,23388,0,1,0,0,0,0,144,0,144
101514,8840,13340,0,8840,13340,0,12110,16610,0,1,0,0,0,0,143,0,143
101541,0,0,28840,0,0,28840,0,0,28840,1,7,12,1,0,2,5,27
101569,10675,18348,12630,10675,18348,12630,14035,21708,15990,1,0,0,0,0,82,0,82
101587,12292,18162,18162,12292,18162,18162,18802,24672,24672,1,24,57,14,5,0,16,116
101602,8987,18437,0,8987,18437,0,12317,21767,0,1,0,0,0,0,57,0,57
101648,0,0,16520,0,0,16520,0,0,22520,1,0,0,0,0,18,0,18
101675,15582,26112,22318,15582,26112,22318,15582,26112,22318,1,15,24,53,0,0,9,101
101693,25668,35162,32570,25668,35162,32570,25668,35162,32570,1,18,37,9,0,4,17,85
101709,16610,23340,23340,16610,23340,23340,26300,33030,33030,1,41,49,4,0,0,42,136
101736,11000,16500,0,11000,16500,0,14330,19830,0,1,0,0,0,0,77,0,77
101879,10878,17078,16933,10878,17078,16933,16470,22670,22525,1,41,77,29,0,4,73,224
101897,8145,10645,0,8145,10645,0,11475,13975,0,1,0,0,0,0,58,0,58
101912,23634,34330,36295,23634,34330,36295,23634,34330,36295,1,39,43,2,0,0,26,110
101949,9200,14100,0,9200,14100,0,12530,17430,0,1,0,0,0,0,35,0,35
101994,6885,11885,0,6885,11885,0,10215,15215,0,1,0,0,0,0,24,0,24
102030,8700,12200,0,8700,12200,0,12030,15530,0,1,0,0,0,0,85,0,85
102049,32100,41600,40900,32100,41600,40900,32100,41600,40900,1,85,97,19,0,0,99,300
102058,7840,14040,16740,7840,14040,16740,7840,14040,16740,1,1,3,21,12,13,1,51
102067,10250,15750,0,10250,15750,0,13580,19080,0,1,0,0,0,0,92,0,92
102076,8177,12677,10771,8177,12677,10771,11507,16007,14101,1,0,0,0,0,43,0,43
102094,12720,20894,19980,12720,20894,19980,19368,27542,26628,1,171,264,126,2,0,192,755
102234,34874,42534,46170,34874,42534,46170,34874,42534,46170,1,31,26,3,0,0,13,73
102261,14861,20606,19585,14861,20606,19585,14861,20606,19585,1,1,3,0,0,0,3,7
102270,19821,26877,26877,19821,26877,26877,19821,26877,26877,1,21,27,1,0,3,6,58
102298,14792,17192,21296,14792,17192,21296,14792,17192,21296,1,12,10,13,0,0,8,43
102313,8488,13438,0,8488,13438,0,11152,16102,0,1,0,0,0,0,67,0,67
102368,13912,19060,18228,13912,19060,18228,20248,25396,24564,1,107,203,5,117,1,58,491
102377,24403,32853,32853,24403,32853,32853,24403,32853,32853,1,51,111,35,10,8,55,270
102429,10080,17295,14360,10080,17295,14360,13410,20625,17690,1,0,0,0,0,111,0,111
102553,9654,22151,18620,9654,22151,18620,19713,32210,28679,1,140,236,59,0,182,111,728
102614,10634,19572,16484,10634,19572,16484,21210,30148,27060,1,116,173,39,0,146,85,559
102632,10216,22562,18657,10216,22562,18657,20792,33138,29233,1,29,62,0,0,38,7,136
102669,34310,48510,43180,34310,48510,43180,34310,48510,43180,1,14,16,4,0,0,12,46
102711,0,0,0,0,0,0,0,0,0,1,0,0,39,0,4,0,43
102845,25147,32020,0,25147,32020,0,25147,32020,0,1,0,0,50,0,0,0,50
